年,月,日,品目コード,品目名,価格,文字数
2021,10,1,30100,だいこん,120.42857142857143,4.0
2021,10,2,30100,だいこん,118.42857142857143,4.0
2021,10,4,30100,だいこん,119.28571428571429,4.0
2021,10,5,30100,だいこん,123.35714285714286,4.0
2021,10,7,30100,だいこん,121.64285714285714,4.0
2021,10,8,30100,だいこん,117.71428571428571,4.0
2021,10,9,30100,だいこん,109.92857142857143,4.0
2021,10,11,30100,だいこん,95.23076923076923,4.0
2021,10,12,30100,だいこん,94.64285714285714,4.0
2021,10,14,30100,だいこん,88.42857142857143,4.0
2021,10,15,30100,だいこん,83.07142857142857,4.0
2021,10,16,30100,だいこん,80.92857142857143,4.0
2021,10,18,30100,だいこん,79.85714285714286,4.0
2021,10,19,30100,だいこん,82.14285714285714,4.0
2021,10,21,30100,だいこん,83.92857142857143,4.0
2021,10,22,30100,だいこん,83.78571428571429,4.0
2021,10,23,30100,だいこん,87.64285714285714,4.0
2021,10,25,30100,だいこん,89.0,4.0
2021,10,26,30100,だいこん,90.42857142857143,4.0
2021,10,28,30100,だいこん,92.35714285714286,4.0
2021,10,29,30100,だいこん,91.78571428571429,4.0
2021,10,30,30100,だいこん,87.78571428571429,4.0
2021,11,1,30100,だいこん,84.57142857142857,4.0
2021,11,2,30100,だいこん,81.14285714285714,4.0
2021,11,4,30100,だいこん,74.07142857142857,4.0
2021,11,5,30100,だいこん,69.64285714285714,4.0
2021,11,6,30100,だいこん,66.92857142857143,4.0
2021,11,8,30100,だいこん,65.71428571428571,4.0
2021,11,9,30100,だいこん,66.57142857142857,4.0
2021,11,11,30100,だいこん,65.21428571428571,4.0
2021,11,12,30100,だいこん,61.785714285714285,4.0
2021,11,13,30100,だいこん,63.714285714285715,4.0
2021,11,15,30100,だいこん,62.142857142857146,4.0
2021,11,16,30100,だいこん,61.214285714285715,4.0
2021,11,18,30100,だいこん,58.42857142857143,4.0
2021,11,19,30100,だいこん,57.07142857142857,4.0
2021,11,20,30100,だいこん,57.57142857142857,4.0
2021,11,22,30100,だいこん,58.285714285714285,4.0
2021,11,24,30100,だいこん,59.15384615384615,4.0
2021,11,25,30100,だいこん,59.07142857142857,4.0
2021,11,26,30100,だいこん,57.5,4.0
2021,11,27,30100,だいこん,53.785714285714285,4.0
2021,11,29,30100,だいこん,51.857142857142854,4.0
2021,11,30,30100,だいこん,54.142857142857146,4.0
2021,12,2,30100,だいこん,51.92857142857143,4.0
2021,12,3,30100,だいこん,54.5,4.0
2021,12,4,30100,だいこん,54.714285714285715,4.0
2021,12,6,30100,だいこん,54.785714285714285,4.0
2021,12,7,30100,だいこん,55.5,4.0
2021,12,9,30100,だいこん,57.285714285714285,4.0
2021,12,10,30100,だいこん,56.42857142857143,4.0
2021,12,11,30100,だいこん,56.0,4.0
2021,12,13,30100,だいこん,56.857142857142854,4.0
2021,12,14,30100,だいこん,59.42857142857143,4.0
2021,12,16,30100,だいこん,59.0,4.0
2021,12,17,30100,だいこん,61.5,4.0
2021,10,1,30200,かぶ,281.15384615384613,2.0
2021,10,2,30200,かぶ,255.16666666666666,2.0
2021,10,4,30200,かぶ,237.46153846153845,2.0
2021,10,5,30200,かぶ,202.75,2.0
2021,10,7,30200,かぶ,205.64285714285714,2.0
2021,10,8,30200,かぶ,179.0,2.0
2021,10,9,30200,かぶ,166.66666666666666,2.0
2021,10,11,30200,かぶ,188.5,2.0
2021,10,12,30200,かぶ,164.69230769230768,2.0
2021,10,14,30200,かぶ,167.71428571428572,2.0
2021,10,15,30200,かぶ,150.0,2.0
2021,10,16,30200,かぶ,165.0,2.0
2021,10,18,30200,かぶ,173.64285714285714,2.0
2021,10,19,30200,かぶ,143.07692307692307,2.0
2021,10,21,30200,かぶ,169.64285714285714,2.0
2021,10,22,30200,かぶ,154.6153846153846,2.0
2021,10,23,30200,かぶ,147.69230769230768,2.0
2021,10,25,30200,かぶ,174.14285714285714,2.0
2021,10,26,30200,かぶ,151.84615384615384,2.0
2021,10,28,30200,かぶ,169.71428571428572,2.0
2021,10,29,30200,かぶ,160.07692307692307,2.0
2021,10,30,30200,かぶ,163.69230769230768,2.0
2021,11,1,30200,かぶ,170.57142857142858,2.0
2021,11,2,30200,かぶ,172.35714285714286,2.0
2021,11,4,30200,かぶ,159.85714285714286,2.0
2021,11,5,30200,かぶ,152.15384615384616,2.0
2021,11,6,30200,かぶ,141.0,2.0
2021,11,8,30200,かぶ,143.07142857142858,2.0
2021,11,9,30200,かぶ,141.23076923076923,2.0
2021,11,11,30200,かぶ,147.42857142857142,2.0
